id;nom_concours;date_ouverture;date_cloture;nbre_candidats;date_concours;date_deliberation;nbre_admis
1;wireless;2022-09-18;2022-09-19;73819;2022-09-19;2022-09-18;93208
2;Account Ukraine;2022-09-18;2022-09-18;54594;2022-09-18;2022-09-18;78212
3;Automotive transmitting;2022-09-18;2022-09-18;95913;2022-09-18;2022-09-18;88092
4;du withdrawal c;2022-09-19;2022-09-19;13729;2022-09-19;2022-09-18;1120
5;interface;2022-09-18;2022-09-18;89966;2022-09-18;2022-09-18;92110
6;Outdoors exploit;2022-09-18;2022-09-18;75430;2022-09-19;2022-09-18;97903
7;Charron Pants Avon;2022-09-19;2022-09-18;22580;2022-09-18;2022-09-19;13825
8;interfaces facilitate Intelligent;2022-09-18;2022-09-18;38290;2022-09-19;2022-09-19;15840
9;Shirt Cotton;2022-09-19;2022-09-18;91645;2022-09-19;2022-09-19;90960
10;primary;2022-09-19;2022-09-19;84289;2022-09-18;2022-09-19;40299
