id;type_depense;autre_depense;description;montant_depense
1;BIENS_ET_SERVICES;Architecte;../fake-data/blob/hipster.txt;secured architectures
2;AUTRES;c;../fake-data/blob/hipster.txt;Car Avon Islands
3;INVESTISSEMENT;Versatile a Personal;../fake-data/blob/hipster.txt;capability Balanced
4;AUTRES;a;../fake-data/blob/hipster.txt;virtual Provence
5;TRANSFERTS_COURANTS;navigate Rubber Cotton;../fake-data/blob/hipster.txt;Berkshire a
6;PERSONNEL;b impactful;../fake-data/blob/hipster.txt;Fresh Handmade SDR
7;TRANSFERTS_COURANTS;deliver Books;../fake-data/blob/hipster.txt;initiative utilisation platforms
8;BIENS_ET_SERVICES;TCP Jewelery brand;../fake-data/blob/hipster.txt;b HDD
9;BIENS_ET_SERVICES;visualize Analyste communities;../fake-data/blob/hipster.txt;compress microchip
10;AUTRES;Lepic Midi-Pyrénées matrix;../fake-data/blob/hipster.txt;a neural
