id;jhi_group;designation_membre;designation_membre_content_type;pv_dinventaire;pv_dinventaire_content_type
1;GROUP2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;GROUP1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;GROUP2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;GROUP1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;GROUP2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;GROUP2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;GROUP1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;GROUP1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;GROUP2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;GROUP1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
