id;type_mouvement;jhi_group;organisation;autre_organisation;ressource;autre_ressource;designation;designation_content_type;pv_reception;pv_reception_content_type;bordeau_de_livraison;bordeau_de_livraison_content_type;groupe;bon_de_sortie;bon_de_sortie_content_type;certificat_administratif;certificat_administratif_content_type
1;SORTIE_DEFINITIVE;GROUP1;ETAT;Berkshire Turkish;BUDGET;payment;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;SORTIE_DEFINITIVE;GROUP2;AUTRES;Nord-Pas-de-Calais blue;AUTRES;Architecte Steel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;SORTIE_DEFINITIVE;GROUP1;PATENAIRE;viral Consultant;BUDGET;b Tuna;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;SORTIE_DEFINITIVE;GROUP1;PATENAIRE;HDD back-end disintermediate;BUDGET;bottom-line extranet;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;SORTIE_DEFINITIVE;GROUP2;PATENAIRE;Soap Chaussée-d'Antin;AUTRES;responsive SQL partnerships;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;SORTIE_DEFINITIVE;GROUP1;PATENAIRE;mobile;BUDGET;optical Rupee;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;SORTIE_DEFINITIVE;GROUP2;AUTRES;mesh Grocery Zadkine;BUDGET;methodologies;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;RECEPTION;GROUP2;AUTRES;generating;BUDGET;Handcrafted HDD;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;RECEPTION;GROUP1;AUTRES;Consultant feed Towels;BUDGET;applications;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;RECEPTION;GROUP1;PATENAIRE;digital a;AUTRES;RAM Bedfordshire sexy;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;GROUPE2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
