id;type;autre_type;fonctionnel;activite;date_activite;rapport;rapport_content_type
1;COMITE_GESTION;Manat;NON;../fake-data/blob/hipster.txt;2022-09-18;../fake-data/blob/hipster.png;image/png
2;AUTRES;reinvent violet Adolphe;OUI;../fake-data/blob/hipster.txt;2022-09-18;../fake-data/blob/hipster.png;image/png
3;COMITE_GESTION;Hat Loan;NON;../fake-data/blob/hipster.txt;2022-09-18;../fake-data/blob/hipster.png;image/png
4;COMITE_GESTION;cross-platform seize;OUI;../fake-data/blob/hipster.txt;2022-09-18;../fake-data/blob/hipster.png;image/png
5;CONSEIL_ETABLISSEMENT;orchid Lorraine synthesize;OUI;../fake-data/blob/hipster.txt;2022-09-19;../fake-data/blob/hipster.png;image/png
6;AUTRES;Djibouti Sleek;OUI;../fake-data/blob/hipster.txt;2022-09-18;../fake-data/blob/hipster.png;image/png
7;AUTRES;customized;NON;../fake-data/blob/hipster.txt;2022-09-19;../fake-data/blob/hipster.png;image/png
8;CONSEIL_ETABLISSEMENT;action-items;NON;../fake-data/blob/hipster.txt;2022-09-19;../fake-data/blob/hipster.png;image/png
9;CONSEIL_ADMINISTRATION;Berkshire optical;OUI;../fake-data/blob/hipster.txt;2022-09-19;../fake-data/blob/hipster.png;image/png
10;CONSEIL_PEDAGOGIQUE;Towels facilitate Tanzanian;OUI;../fake-data/blob/hipster.txt;2022-09-19;../fake-data/blob/hipster.png;image/png
