id;denomination_partenaire;statau_partenaire;autre_categorie;type_appui;autre_nature
1;Won Incredible;ENTREPRISE;de Handmade;TECHNIQUEETFINANCIER;Intelligent
2;Soft deposit Aquitaine;ORGANISATION_SOCIALE;Avon SMS;AUTRES;Handcrafted synthesize Salad
3;bypass bypass Tuna;APE;Borders Bac Steel;FINANCIER;Fresh Phased
4;Specialiste transmitter Qatar;SYNDICAT;Midi-Pyrénées Intuitive;FORMATION;EXE EXE
5;AI;APE;client-driven User-centric;TECHNIQUEETFINANCIER;Practical
6;digital;SYNDICAT;microchip;TECHNIQUE;Steel
7;ubiquitous withdrawal Wooden;AUTRES;Picardie Alsace emulation;FINANCIER;convergence interactive
8;Russian;PATRONAT;interactive;FORMATION;UIC-Franc Granite
9;Thaïlande Rustic program;ONG;connect;TECHNIQUEETFINANCIER;user-centric SDD Champagne-Ardenne
10;Kids de;APE;deliverables PNG a;AUTRES;Zambie cross-platform Customizable
