id;type;autre_recette;type_ressource;montant;date
1;PRESTATIONS_DIVERSES;global exploit;Aquitaine scalable;connecting Administrateur cultivate;2022-09-19
2;SUBVENTION_ETAT;standardization Bike neural;alarm Centre;Account deposit;2022-09-18
3;PRESTATIONS_DIVERSES;Soft Lesotho;migration;Ball sticky Tuna;2022-09-19
4;AUTRES;neural;generating;bus b;2022-09-19
5;DONS;XML definition de;neutral;du;2022-09-18
6;AUTRES;scalable;payment override;Executif pixel Account;2022-09-19
7;PRESTATIONS_DIVERSES;magenta Tasty;Cordoba;pink Analyste;2022-09-18
8;PRESTATIONS_DIVERSES;1080p c;Borders Unbranded de;multimedia Pants;2022-09-19
9;AUTRES;Poitou-Charentes;c violet;saoudite;2022-09-19
10;DONS;sky;technologies Tasty;Cheese payment tan;2022-09-18
