id;nombre_salleclasse;nombre_ateliers;specialiase;nombre_salle_specialise;justification_salle_spe;cdi;nombre_cdi;justifiactif_salle_cdi;gym;terrain_sport;autre_salle
1;compressing zero ROI;Ergonomic partnerships Games;OUI;exploit green;../fake-data/blob/hipster.txt;OUI;Practical Stagiaire;../fake-data/blob/hipster.txt;OUI;NON;users
2;Tasty;firewall solid;NON;even-keeled;../fake-data/blob/hipster.txt;NON;withdrawal Cross-platform;../fake-data/blob/hipster.txt;OUI;NON;Toys azure
3;Granite core Coordinateur;Vaneau République;NON;Stand-alone quantifying;../fake-data/blob/hipster.txt;OUI;THX vortals;../fake-data/blob/hipster.txt;NON;OUI;Electronics
4;program invoice Automotive;Directeur;OUI;Administrateur;../fake-data/blob/hipster.txt;OUI;Hat;../fake-data/blob/hipster.txt;OUI;OUI;e-business
5;b;Shoes Assistant Rustic;OUI;supply-chains overriding Music;../fake-data/blob/hipster.txt;NON;bluetooth Keyboard;../fake-data/blob/hipster.txt;OUI;NON;metrics cutting-edge multimedia
6;Plastic Intelligent;Car;NON;c;../fake-data/blob/hipster.txt;OUI;repurpose Berkshire Poitou-Charentes;../fake-data/blob/hipster.txt;NON;OUI;Granite Saussaies
7;Beauty human-resource neural;Automotive Forint Ingenieur;NON;HDD Specialiste;../fake-data/blob/hipster.txt;NON;Clothing;../fake-data/blob/hipster.txt;OUI;NON;plug-and-play Account
8;Unbranded reinvent;Gorgeous a;OUI;compress;../fake-data/blob/hipster.txt;OUI;Refined Tools;../fake-data/blob/hipster.txt;OUI;NON;web-enabled redundant d'Assas
9;PNG;generate;NON;bluetooth;../fake-data/blob/hipster.txt;OUI;Ingenieur synthesize Music;../fake-data/blob/hipster.txt;OUI;OUI;Quetzal
10;up Profit-focused back-end;Berkshire;OUI;Adaptive executive;../fake-data/blob/hipster.txt;OUI;USB magenta back;../fake-data/blob/hipster.txt;NON;NON;deposit Account Computers
