id;nature;autre_nature;provenance;autre_provenance;objet;periode
1;ADMINITRATIVE;stable brand;AUTRES;Profit-focused b;../fake-data/blob/hipster.txt;2022-09-19
2;AUTRES;b calculate;AUTRES;Shirt Loti Vanuatu;../fake-data/blob/hipster.txt;2022-09-18
3;PEDAGOGIQUE;Visionary;AUTRES;input Guyane Buckinghamshire;../fake-data/blob/hipster.txt;2022-09-18
4;TECHNIQUE;harness Cotton;AUTRES;backing transmitting;../fake-data/blob/hipster.txt;2022-09-18
5;PEDAGOGIQUE;Champagne-Ardenne teal;NIVEAU_CENTRAL;Pre-emptive c Card;../fake-data/blob/hipster.txt;2022-09-19
6;PEDAGOGIQUE;Saint-Denis Monténégro;NIVEAU_CENTRAL;a b;../fake-data/blob/hipster.txt;2022-09-18
7;ADMINITRATIVE;USB;NIVEAU_CENTRAL;collaborative;../fake-data/blob/hipster.txt;2022-09-18
8;PEDAGOGIQUE;strategy;AUTRES;SAS sexy;../fake-data/blob/hipster.txt;2022-09-18
9;PEDAGOGIQUE;Ball;PEDAGOGIQUE;c;../fake-data/blob/hipster.txt;2022-09-19
10;PEDAGOGIQUE;disintermediate;PEDAGOGIQUE;Rupee Plastic;../fake-data/blob/hipster.txt;2022-09-19
